Orbital position;Satellite;Norad;Ini;News;Channels;FTA;Longitude;Declination;Max Declination;Azimuth;Elevation;Last Updated;Download satinfo
31.5°W;Intelsat 25;33153;;;3;3;31.51°W;0.00°;0.01°;N/A;N/A;26-3-2017 07:01;http://en.kingofsat.net/dl.php?pos=31.5W&fkhz=0
33.6°W;Hylas 1;37237;;;0;0;33.5°W;0.01°;0.03°;N/A;N/A;8-1-2011 15:29;http://en.kingofsat.net/dl.php?pos=33.6W&fkhz=0
34.5°W;Intelsat 35;42818;;;27;3;34.51°W;-0.01°;0.02°;N/A;N/A;2-10-2017 10:46;http://en.kingofsat.net/dl.php?pos=34.5W&fkhz=0
36.0°W;Hispasat 36W-1;41942;;;0;0;36.02°W;0.00°;0.01°;N/A;N/A;0000-00-00 00:00;http://en.kingofsat.net/dl.php?pos=36W&fkhz=0
36.0°W;Eutelsat 36 West A;27508;;;0;0;36.27°W;0.02°;0.07°;N/A;N/A;19-12-2015 11:45;http://en.kingofsat.net/dl.php?pos=36W&fkhz=0
36.2°W;Amazonas;28393;;;0;0;36.55°W;-1.51°;1.76°;N/A;N/A;31-8-2010 21:15;http://en.kingofsat.net/dl.php?pos=36.2W&fkhz=0
37.5°W;NSS 10;28526;;;2;1;37.45°W;0.00°;0.01°;N/A;N/A;18-4-2017 20:41;http://en.kingofsat.net/dl.php?pos=37.5W&fkhz=0
37.5°W;Telstar 11N;34111;;;0;0;37.53°W;0.00°;0.02°;N/A;N/A;20-12-2016 13:43;http://en.kingofsat.net/dl.php?pos=37.5W&fkhz=0
40.5°W;SES-6;39172;;;325;196;40.47°W;0.04°;0.04°;N/A;N/A;25-11-2017 12:01;http://en.kingofsat.net/dl.php?pos=40.5W&fkhz=0
43.0°W;Intelsat 11;32253;;;300;50;42.98°W;-0.03°;0.03°;N/A;N/A;7-12-2017 10:49;http://en.kingofsat.net/dl.php?pos=43W&fkhz=0
45.0°W;Intelsat 14 (IS-14);36097;;;5;5;44.98°W;-0.01°;0.02°;N/A;N/A;7-10-2017 10:11;http://en.kingofsat.net/dl.php?pos=45W&fkhz=0
47.5°W;NSS 806;25239;;;29;13;47.52°W;0.00°;0.05°;N/A;N/A;12-8-2017 15:11;http://en.kingofsat.net/dl.php?pos=47.5W&fkhz=0
53.0°W;Intelsat 23;38867;;;4;4;53.03°W;0.00°;0.01°;N/A;N/A;26-8-2016 22:15;http://en.kingofsat.net/dl.php?pos=53W&fkhz=0
55.5°W;Intelsat 34;40874;;;276;120;55.51°W;0.00°;0.02°;N/A;N/A;4-11-2017 21:58;http://en.kingofsat.net/dl.php?pos=55.5W&fkhz=0
58.0°W;Intelsat 21;38749;;;382;122;58.01°W;0.01°;0.02°;N/A;N/A;20-11-2017 21:33;http://en.kingofsat.net/dl.php?pos=58W&fkhz=0
61.0°W;Amazonas 3;39078;;;52;1;61.01°W;-0.03°;0.04°;N/A;N/A;27-12-2014 10:12;http://en.kingofsat.net/dl.php?pos=61W&fkhz=0
